nhi,first_names,last_names,date_of_birth,date_of_death,birth_gender,gender,blood_type,height,weight,street_number,street_name,neighborhood,city,region,zip_code,country,birth_country,home_number,mobile_number,email
AAG3309,Rosette,Sivior,08/27/1995,,Female,Female,B-,152,71,306,Kipling,Santana de Parnaíba,Whangarei,Northland,2163,NZ,NZ,03 759 5999,029 260 0739,rsivior0@biglobe.ne.jp
AAG1002,Alis,Pesak,4/03/1929,,Female,Female,AB-,168,103,2450,Sycamore,Passos,Nelson,Nelson,4958,NZ,NZ,08 728 5234,026 009 2333,apesak1@blogger.com
ADB8724,Marga,Gindghill,7/07/1943,,Female,Male,B-,194,105,2158,Melody,Bình Thủy,Hamilton,Waikato,5813,NZ,NZ,07 743 4657,020 483 1284,mgindghill2@furl.net
AKG3765,Evelina,Gounard,02/27/1999,,Female,Female,O-,199,57,2409,Oxford,Lamam,Hastings,Hawke's Bay,4905,NZ,NZ,08 739 0180,027 158 4600,egounard3@imgur.com
AFT6754,Kizzie,Dashwood,6/02/1942,,Female,Female,O+,183,71,1003,Bunting,Jiuzhen,Hastings,Hawke's Bay,1688,NZ,NZ,09 334 8505,026 028 4947,kdashwood4@senate.gov
AFL4169,Janina,Guidera,04/23/1980,,Female,Female,A+,203,60,2169,Novick,Tarhuna,Oxford,Canterbury,1015,NZ,NZ,09 436 6193,021 735 9687,jguidera5@senate.gov
AQP2093,Xylina,Gowers,5/11/1950,,Female,Female,A-,165,67,359,Morning,Maglajani,Napier,Hawke's Bay,7452,NZ,NZ,09 711 9678,026 266 6649,xgowers6@wisc.edu
ARX4783,Lauretta,Stanmer,10/28/1941,,Female,Female,O-,189,67,2903,Cascade,Avesta,Darfield,Canterbury,3463,NZ,NZ,07 742 2936,029 990 8709,lstanmer7@blogspot.com
AZM3026,Windham,Ragate,11/25/2008,,Male,Male,A-,192,52,1102,Mcbride,Iḩsim,Auckland,Auckland,9406,NZ,NZ,09 704 8581,029 050 7076,wragate8@edublogs.org
AQU9159,Angus,Keam,5/04/1924,,Male,Male,A+,199,110,2660,Upham,Oslo,Dunedin,Otago,3015,NZ,NZ,09 560 6981,026 434 0499,akeam9@bing.com
AUW5637,Drugi,Goburn,04/15/1944,,Male,Male,AB+,191,110,25,Autumn Leaf,Mykonos,Lower Hutt,Wellington,2979,NZ,NZ,09 711 3104,024 866 3150,dgoburna@dagondesign.com
ACT2942,Sollie,Burchatt,01/15/1966,,Male,Male,B+,178,110,421,Prentice,Stari Lec,Whanganui,Manawatu-Wanganui,8732,NZ,NZ,08 793 2084,020 534 0586,sburchattb@gmpg.org
AQK5670,Arleta,Saveall,2/08/1972,,Female,Female,O-,193,75,193,Montana,Bapska,Gisborne,Gisborne,9281,NZ,NZ,09 565 6517,021 812 4004,asaveallc@samsung.com
AZP3803,Costanza,Galbreth,12/20/1995,,Female,Female,O+,209,55,2779,Elgar,Kranjska Gora,Upper Hutt,Wellington,7376,NZ,NZ,05 770 3753,023 801 6235,cgalbrethd@edublogs.org
ABK5813,Frazier,Baily,12/15/1964,,Male,Male,B-,185,111,937,Dayton,Pandak,Rotorua,Bay  of Plenty,9919,NZ,NZ,09 543 8064,024 239 5079,fbailye@wikipedia.org
AWH7982,Tamqrah,Fache,07/24/1983,,Female,Female,A+,152,91,1879,Quincy,Luoluopu,Upper Hutt,Wellington,5043,NZ,NZ,08 426 9306,020 032 7126,tfachef@amazon.de
ALM5488,Sashenka,Roden,09/23/1944,,Female,Female,O+,177,89,31,Blue Bill Park,Pôrto Barra do Ivinheima,Gisborne,Gisborne,5549,NZ,NZ,09 526 2051,022 524 0807,srodeng@reuters.com
AYT8825,Katine,Novik,04/28/1918,,Female,Female,O+,198,75,1731,Waubesa,Hema,Motueka,Tasman,8036,NZ,NZ,09 290 9713,020 755 6177,knovikh@senate.gov
AVP7462,Meredith,Bucknill,01/24/2003,,Female,Female,O-,210,81,1475,Maple Wood,Chinhoyi,Christchurch,Canterbury,2793,NZ,NZ,09 226 4047,027 562 5382,mbucknilli@biblegateway.com
AZN0774,Joellyn,Risborough,01/22/1967,,Female,Female,B-,193,103,1378,American,Lancheng,Motueka,Tasman,4731,NZ,NZ,09 778 7766,027 709 8824,jrisboroughj@mysql.com
AHA0823,Koenraad,Humbey,1/10/1940,,Male,Male,A+,186,58,1031,Carey,Klina,Takaka,Tasman,9628,NZ,NZ,09 739 9854,020 325 2294,khumbeyk@un.org
AWJ3680,Lorry,Arenson,01/14/1959,,Male,Male,AB+,150,69,2907,Walton,Yong’an,New Plymouth,Taranaki,4824,NZ,NZ,07 552 3433,029 335 9666,larensonl@mozilla.com
